0,1,2,3,4,5,6
29.0,-4.85,19.85,0.44,17,3,11
29.0,-9.99,19.85,0.34,17,3,12
-10.0,5.67,-19.2,0.44,17,3,13
-10.0,7.89,-19.2,0.44,17,3,14
-4.79,0.9,-0.87,0.39,17,3,15
29.0,-7.18,19.85,0.39,17,3,16
-10.0,3.21,-19.2,0.44,17,3,17
-10.0,12.05,-19.2,0.39,17,3,18
29.0,-3.48,19.85,0.44,17,3,19
29.0,-10.87,19.85,0.39,17,3,20
-10.0,3.32,-19.2,0.48,17,3,21
-10.0,7.97,-18.24,0.34,17,3,22
29.0,-6.05,19.85,0.44,17,3,23
28.37,-8.6,19.08,0.44,17,3,24
-10.0,1.63,-19.2,0.44,17,3,25
-10.0,6.16,-14.67,0.34,17,3,26
24.64,-1.49,19.85,0.44,17,3,27
27.98,-4.76,19.85,0.44,17,3,28
-10.0,5.87,-19.2,0.48,17,3,30
-10.0,8.95,-16.27,0.34,17,3,31
-7.36,5.65,-4.64,0.34,17,3,32
29.0,-4.39,19.85,0.39,17,3,33
-10.0,4.69,-19.2,0.34,17,3,34
-10.0,11.2,-14.4,0.44,17,3,35
29.0,-3.56,19.85,0.34,17,3,36
29.0,-9.49,19.85,0.44,17,3,37
29.0,-6.32,19.85,0.39,17,3,38
-10.0,10.46,-16.01,0.44,17,3,39
29.0,-3.23,19.85,0.39,17,3,40
29.0,-11.08,19.85,0.48,17,3,41
-10.0,3.73,-19.2,0.44,17,3,42
-10.0,7.78,-19.2,0.44,17,3,43
29.0,-5.25,19.85,0.39,17,3,44
29.0,-8.05,19.85,0.39,17,3,45
-10.0,3.32,-19.2,0.39,17,3,46
-10.0,4.85,-19.2,0.44,17,3,47
3.7,0.54,-0.15,0.48,17,3,48
29.0,-9.37,19.85,0.44,17,3,49
-10.0,6.35,-19.2,0.34,17,3,50
-10.0,5.57,-19.2,0.44,17,3,51
24.1,-0.42,19.85,0.39,17,3,52
27.24,-3.63,19.85,0.44,17,3,53
-10.0,5.74,-19.2,0.39,17,3,54
-10.0,10.26,-19.2,0.44,17,3,55
29.0,-4.38,19.85,0.44,17,3,56
29.0,-9.83,19.85,0.44,17,3,57
-10.0,5.02,-19.2,0.39,17,3,58
-10.0,8.54,-19.2,0.39,17,3,59
29.0,-4.19,19.85,0.39,17,4,0
29.0,-8.51,19.85,0.39,17,4,2
-10.0,5.75,-19.2,0.44,17,4,3
-10.0,5.9,-19.2,0.44,17,4,4
11.18,1.87,6.3,0.34,17,4,5
29.0,-10.2,19.85,0.44,17,4,6
-10.0,7.28,-19.2,0.39,17,4,7
-10.0,10.84,-17.89,0.39,17,4,8
28.71,-3.49,19.85,0.34,17,4,9
22.5,-2.95,18.43,0.39,17,4,10
-10.0,5.83,-19.2,0.39,17,4,11
-10.0,9.99,-19.2,0.39,17,4,12
29.0,-3.96,19.85,0.39,17,4,13
29.0,-8.68,19.85,0.39,17,4,14
-10.0,6.17,-19.2,0.39,17,4,15
-10.0,10.4,-18.12,0.44,17,4,16
27.6,-2.84,19.85,0.34,17,4,17
29.0,-5.94,19.85,0.39,17,4,18
-10.0,5.02,-16.45,0.39,17,4,19
-8.37,-3.54,-5.39,0.39,17,4,20
29.0,-3.77,19.85,0.44,17,4,21
24.8,-6.02,19.71,0.39,17,4,22
-10.0,5.17,-19.2,0.34,17,4,23
-10.0,9.68,-14.79,0.39,17,4,24
20.49,0.0,18.08,0.39,17,4,25
26.44,-7.38,18.87,0.39,17,4,26
-10.0,3.42,-19.2,0.39,17,4,27
-10.0,6.49,-18.91,0.44,17,4,28
29.0,-3.75,19.85,0.39,17,4,29
26.68,-9.31,18.56,0.48,17,4,30
-10.0,5.19,-19.2,0.44,17,4,31
-10.0,10.22,-17.26,0.39,17,4,32
29.0,-4.55,19.85,0.44,17,4,34
28.69,-8.36,19.85,0.34,17,4,35
-10.0,1.7,-19.2,0.48,17,4,36
-10.0,3.45,-8.03,0.44,17,4,37
29.0,-3.45,19.85,0.39,17,4,38
28.29,-6.23,19.85,0.39,17,4,39
-10.0,5.93,-19.2,0.29,17,4,40
0.25,-4.8,0.09,0.39,17,4,41
29.0,-2.69,19.85,0.44,17,4,42
29.0,-8.87,19.85,0.29,17,4,43
-10.0,2.9,-19.2,0.39,17,4,44
-10.0,5.46,-19.2,0.39,17,4,45
27.99,-2.55,19.85,0.39,17,4,46
27.17,-5.48,19.85,0.39,17,4,47
-10.0,5.42,-19.2,0.44,17,4,48
-10.0,11.92,-19.2,0.44,17,4,49
29.0,-2.21,19.85,0.44,17,4,50
29.0,-8.2,19.85,0.39,17,4,51
-10.0,6.42,-19.2,0.39,17,4,52
-10.0,6.27,-19.2,0.44,17,4,53
29.0,-5.06,19.85,0.44,17,4,54
29.0,-8.93,19.85,0.39,17,4,55
-10.0,5.09,-19.2,0.39,17,4,56
-10.0,6.63,-19.2,0.39,17,4,57
29.0,-4.99,19.85,0.44,17,4,58
28.27,-7.26,19.85,0.44,17,4,59
-10.0,4.42,-19.2,0.34,17,5,0
-10.0,7.41,-18.26,0.34,17,5,1
29.0,-1.8,19.85,0.39,17,5,2
24.21,-4.15,19.85,0.39,17,5,3
-10.0,5.5,-19.2,0.39,17,5,4
-10.0,8.17,-19.2,0.44,17,5,6
29.0,-2.55,19.85,0.39,17,5,7
27.23,-6.84,19.85,0.34,17,5,8
-10.0,6.24,-19.2,0.44,17,5,9
-10.0,7.72,-14.37,0.44,17,5,10
21.84,-1.73,19.85,0.39,17,5,11
-10.0,-11.17,-19.2,0.48,17,5,12
-10.0,3.19,-19.2,0.44,17,5,13
-10.0,4.05,-11.46,0.44,17,5,14
25.22,-1.66,19.85,0.39,17,5,15
29.0,-6.53,19.85,0.44,17,5,16
-10.0,4.97,-19.2,0.39,17,5,17
-10.0,3.2,-11.93,0.34,17,5,18
28.64,-3.67,19.85,0.44,17,5,19
29.0,-7.88,19.85,0.34,17,5,20
-10.0,5.21,-19.2,0.48,17,5,21
-10.0,3.29,-12.82,0.44,17,5,22
29.0,-4.32,19.85,0.39,17,5,23
29.0,-9.16,19.85,0.39,17,5,24
-10.0,4.83,-19.2,0.44,17,5,25
7.81,4.5,6.9,0.44,17,5,26
29.0,-5.03,19.85,0.44,17,5,27
25.53,-7.15,19.85,0.39,17,5,28
-10.0,4.57,-19.2,0.34,17,5,29
-10.0,6.94,-19.2,0.29,17,5,30
29.0,-3.03,19.85,0.39,17,5,31
27.07,-10.5,19.04,0.39,17,5,32
-10.0,3.7,-19.2,0.39,17,5,33
-10.0,2.91,-12.26,0.29,17,5,34
29.0,-5.03,19.85,0.48,17,5,35
24.31,-7.75,17.53,0.44,17,5,36
-10.0,4.02,-19.2,0.44,17,5,38
-10.0,7.68,-14.79,0.34,17,5,39
27.62,-1.65,19.85,0.29,17,5,40
29.0,-6.6,19.85,0.34,17,5,41
-10.0,5.48,-19.2,0.39,17,5,42
11.61,7.78,14.7,0.44,17,5,43
29.0,-2.26,19.85,0.44,17,5,44
29.0,-9.18,19.85,0.29,17,5,45
-10.0,3.03,-17.79,0.39,17,5,46
-10.0,7.34,-14.42,0.39,17,5,47
26.05,-1.46,19.85,0.44,17,5,48
27.43,-5.92,19.85,0.39,17,5,49
-10.0,5.25,-19.2,0.44,17,5,50
-10.0,11.07,-19.2,0.44,17,5,51
29.0,-4.48,19.85,0.39,17,5,52
29.0,-10.9,19.85,0.39,17,5,53
-10.0,3.84,-19.2,0.39,17,5,54
-10.0,3.37,-12.19,0.44,17,5,55
29.0,-1.92,19.85,0.39,17,5,56
22.42,-3.21,18.59,0.44,17,5,57
-1.28,-1.7,-0.25,0.44,17,5,58
-10.0,1.77,-16.27,0.44,17,5,59
29.0,-3.67,19.85,0.48,17,6,0
23.45,-10.54,18.71,0.44,17,6,1
-10.0,1.82,-19.2,0.34,17,6,2
-10.0,-1.94,-13.72,0.48,17,6,3
25.59,-1.16,19.85,0.44,17,6,4
24.39,-4.69,19.85,0.48,17,6,5
-10.0,3.54,-17.76,0.39,17,6,6
-10.0,6.47,-14.44,0.48,17,6,7
23.99,-1.98,19.85,0.39,17,6,8
25.02,-4.93,19.64,0.44,17,6,10
-10.0,3.96,-19.2,0.39,17,6,11
-10.0,4.66,-18.0,0.39,17,6,12
29.0,-3.74,19.85,0.44,17,6,13
29.0,-8.81,19.85,0.48,17,6,14
-7.68,-0.29,-7.68,0.39,17,6,15
-10.0,-0.25,-10.33,0.44,17,6,16
24.17,-3.45,19.85,0.34,17,6,17
29.0,-12.31,19.85,0.48,17,6,18
-10.0,4.53,-19.2,0.44,17,6,19
-10.0,2.37,-12.76,0.48,17,6,20
20.9,-3.87,19.23,0.39,17,6,21
23.52,-8.26,19.85,0.39,17,6,22
-10.0,4.38,-19.2,0.44,17,6,23
-10.0,8.2,-13.59,0.39,17,6,24
16.44,-1.58,15.69,0.29,17,6,25
29.0,-3.93,19.85,0.44,17,6,26
-10.0,5.23,-17.49,0.39,17,6,27
-10.0,0.0,-8.0,0.48,17,6,28
28.21,-2.89,19.85,0.34,17,6,29
29.0,-10.74,19.85,0.48,17,6,30
8.95,0.61,5.55,0.48,17,6,31
-10.0,0.05,-10.02,0.39,17,6,32
29.0,-4.37,19.85,0.39,17,6,33
21.97,-11.97,18.54,0.44,17,6,34
-10.0,4.17,-19.2,0.39,17,6,35
-10.0,5.17,-10.3,0.39,17,6,36
29.0,-3.07,19.85,0.48,17,6,37
21.41,-8.47,18.1,0.39,17,6,38
-10.0,4.42,-19.2,0.44,17,6,39
-10.0,6.74,-8.68,0.44,17,6,40
19.83,-1.24,18.37,0.44,17,6,42
25.89,-1.8,19.85,0.39,17,6,43
-10.0,1.82,-19.2,0.48,17,6,44
-10.0,-1.31,-11.17,0.34,17,6,45
-10.0,1.2,-19.2,0.39,17,6,46
29.0,-8.08,19.85,0.34,17,6,47
3.23,-1.43,2.64,0.34,17,6,48
-10.0,-4.97,-15.87,0.48,17,6,49
17.43,-0.58,14.72,0.53,17,6,50
27.41,-2.3,19.85,0.44,17,6,51
-10.0,4.7,-19.2,0.39,17,6,52
-10.0,6.44,-15.63,0.39,17,6,53
29.0,-2.1,19.85,0.39,17,6,54
29.0,-9.56,19.85,0.34,17,6,55
-10.0,3.52,-19.2,0.39,17,6,56
-10.0,3.81,-15.52,0.44,17,6,57
29.0,-4.44,19.85,0.48,17,6,58
29.0,-11.47,19.85,0.39,17,6,59
-10.0,3.12,-19.2,0.44,17,7,0
-10.0,-4.37,-14.46,0.39,17,7,1
29.0,-4.56,19.85,0.44,17,7,2
26.85,-11.42,17.71,0.44,17,7,3
6.44,-0.25,2.3,0.39,17,7,4
-10.0,-2.96,-16.53,0.48,17,7,5
29.0,-5.03,19.85,0.44,17,7,6
28.06,-12.06,19.85,0.44,17,7,7
-10.0,3.85,-19.2,0.34,17,7,8
-10.0,-1.56,-13.4,0.39,17,7,9
25.38,-0.98,19.85,0.39,17,7,10
23.81,-4.79,18.35,0.44,17,7,11
-10.0,3.18,-16.49,0.34,17,7,12
-10.0,9.77,-16.15,0.44,17,7,14
29.0,-2.97,19.85,0.39,17,7,15
28.34,-8.36,19.85,0.44,17,7,16
29.0,-3.14,19.85,0.44,17,7,17
-10.0,-1.87,-14.19,0.39,17,7,18
21.73,-2.09,19.33,0.44,17,7,19
25.32,-1.84,19.85,0.44,17,7,20
14.49,2.31,4.91,0.44,17,7,21
-10.0,-2.57,-8.37,0.39,17,7,22
29.0,-3.47,19.85,0.39,17,7,23
28.34,-9.65,19.85,0.44,17,7,24
-10.0,2.08,-19.2,0.39,17,7,25
-10.0,6.58,-9.09,0.39,17,7,26
9.38,0.05,10.05,0.44,17,7,27
27.01,-9.99,18.93,0.44,17,7,28
-10.0,2.36,-19.2,0.48,17,7,29
-10.0,-2.68,-10.39,0.34,17,7,30
12.53,0.1,12.33,0.34,17,7,31
29.0,-3.66,19.85,0.48,17,7,32
-10.0,4.25,-19.2,0.48,17,7,33
-10.0,6.75,-11.66,0.39,17,7,34
17.25,-2.2,16.26,0.44,17,7,35
29.0,-5.03,19.85,0.48,17,7,36
1.43,5.96,-7.78,0.48,17,7,37
-10.0,-3.87,-11.11,0.34,17,7,38
16.26,0.27,15.51,0.39,17,7,39
27.36,-4.01,19.85,0.44,17,7,40
-10.0,3.93,-18.51,0.44,17,7,41
-10.0,5.94,-10.46,0.39,17,7,42
24.03,-0.64,19.85,0.39,17,7,43
29.0,-7.06,19.85,0.48,17,7,44
-10.0,2.95,-19.2,0.39,17,7,45
-10.0,4.75,-10.45,0.34,17,7,47
-10.0,1.76,-19.2,0.44,17,7,48
29.0,-5.33,19.85,0.48,17,7,49
-10.0,4.22,-19.2,0.48,17,7,50
-10.0,3.31,-11.89,0.39,17,7,51
29.0,-2.95,19.85,0.44,17,7,52
2.34,-6.25,5.42,0.39,17,7,53
-10.0,5.49,-19.2,0.39,17,7,54
-10.0,7.9,-12.73,0.44,17,7,55
21.98,-3.16,19.85,0.39,17,7,56
29.0,-8.85,19.85,0.48,17,7,57
-10.0,4.26,-19.2,0.44,17,7,58
-10.0,1.71,-9.68,0.39,17,7,59
29.0,-3.48,19.85,0.34,17,8,0
29.0,-10.76,19.85,0.39,17,8,1
-10.0,3.16,-19.2,0.34,17,8,2
-10.0,-1.03,-11.93,0.39,17,8,3
29.0,-4.29,19.85,0.34,17,8,4
29.0,-9.73,19.85,0.39,17,8,5
-10.0,0.86,-19.2,0.39,17,8,6
-10.0,-1.38,-9.16,0.39,17,8,7
29.0,-3.08,19.85,0.44,17,8,8
4.68,-5.2,6.9,0.39,17,8,9
-10.0,1.7,-19.2,0.29,17,8,10
-10.0,2.29,-14.75,0.48,17,8,11
29.0,-4.89,19.85,0.39,17,8,12
24.92,-9.26,18.37,0.44,17,8,13
-10.0,1.36,-19.2,0.34,17,8,14
-10.0,0.77,-13.67,0.39,17,8,15
24.05,-1.47,19.85,0.39,17,8,16
24.33,-5.33,19.54,0.39,17,8,17
29.0,-2.51,19.85,0.39,17,8,19
-10.0,1.17,-11.04,0.48,17,8,20
29.0,-3.49,19.85,0.39,17,8,21
27.7,-11.91,19.66,0.48,17,8,22
-10.0,3.59,-19.2,0.39,17,8,23
-10.0,9.89,-14.32,0.44,17,8,24
28.23,-2.9,19.85,0.39,17,8,25
3.73,-6.75,5.34,0.34,17,8,26
-10.0,3.69,-19.2,0.34,17,8,27
-10.0,5.8,-12.89,0.39,17,8,28
29.0,-3.01,19.85,0.34,17,8,29
27.35,-8.88,19.85,0.29,17,8,30
-10.0,4.08,-19.2,0.39,17,8,31
-10.0,12.48,-12.77,0.44,17,8,32
29.0,-2.48,19.85,0.44,17,8,33
26.12,-0.46,19.45,0.29,17,8,34
-10.0,3.52,-19.2,0.34,17,8,35
-10.0,1.83,-15.86,0.44,17,8,36
29.0,-4.06,19.85,0.39,17,8,37
27.17,-10.8,18.96,0.34,17,8,38
-10.0,4.86,-19.2,0.44,17,8,39
-10.0,3.26,-11.88,0.39,17,8,40
29.0,-4.15,19.85,0.44,17,8,41
29.0,-5.85,19.85,0.39,17,8,42
-10.0,3.62,-19.2,0.39,17,8,43
-10.0,10.56,-19.2,0.39,17,8,44
29.0,-5.74,19.85,0.44,17,8,45
29.0,-8.9,19.85,0.44,17,8,46
-10.0,-2.44,-11.45,0.44,17,8,47
10.11,-6.31,8.72,0.44,17,8,48
23.35,-8.94,19.85,0.48,17,8,50
29.0,-11.18,19.85,0.39,17,8,51
-10.0,3.78,-19.2,0.34,17,8,52
-10.0,5.05,-15.53,0.39,17,8,53
29.0,-7.22,19.85,0.39,17,8,54
29.0,-6.11,19.85,0.44,17,8,55
-10.0,1.66,-19.2,0.39,17,8,56
-10.0,9.28,-19.2,0.44,17,8,57
29.0,-3.05,19.85,0.44,17,8,58
-10.0,-4.09,-8.36,0.44,17,8,59
-10.0,3.01,-19.2,0.44,17,9,0
-10.0,13.13,-19.2,0.44,17,9,1
25.39,-7.04,19.85,0.48,17,9,2
29.0,-9.6,19.85,0.39,17,9,3
-10.0,2.47,-19.2,0.44,17,9,4
-10.0,10.72,-19.2,0.39,17,9,5
29.0,-0.9,19.85,0.48,17,9,6
29.0,-13.4,19.85,0.39,17,9,7
-10.0,4.09,-19.2,0.39,17,9,8
-10.0,12.0,-19.2,0.39,17,9,9
29.0,-7.1,19.85,0.39,17,9,10
27.35,-9.25,17.9,0.44,17,9,11
-10.0,1.37,-19.2,0.39,17,9,12
-10.0,11.46,-19.2,0.39,17,9,13
29.0,-2.88,19.85,0.34,17,9,14
8.2,-13.59,5.39,0.39,17,9,15
-10.0,2.99,-19.2,0.39,17,9,16
-10.0,7.98,-19.2,0.39,17,9,17
29.0,-4.78,19.85,0.39,17,9,18
2.48,0.18,0.4,0.39,17,9,19
-10.0,2.62,-19.2,0.34,17,9,20
-10.0,11.05,-19.2,0.29,17,9,21
29.0,-3.04,19.85,0.34,17,9,23
29.0,-8.62,19.85,0.48,17,9,24
-10.0,1.3,-19.2,0.44,17,9,25
-10.0,8.17,-19.2,0.39,17,9,26
29.0,-2.72,19.85,0.44,17,9,27
28.32,-8.45,18.53,0.44,17,9,28
-10.0,-3.38,-19.2,0.39,17,9,29
-10.0,7.39,-19.2,0.34,17,9,30
-10.0,6.85,-13.98,0.34,17,9,31
29.0,-5.11,19.85,0.44,17,9,32
-10.0,0.76,-19.2,0.39,17,9,33
-10.0,6.63,-19.2,0.48,17,9,34
29.0,-6.45,19.85,0.39,17,9,35
29.0,-5.04,19.85,0.29,17,9,36
-10.0,2.89,-19.2,0.34,17,9,37
-10.0,4.52,-19.2,0.44,17,9,38
29.0,-5.08,19.85,0.48,17,9,39
29.0,-5.42,19.85,0.34,17,9,40
-10.0,-0.12,-19.2,0.34,17,9,41
-10.0,4.98,-19.2,0.44,17,9,42
29.0,-6.09,19.85,0.44,17,9,43
29.0,-7.21,19.85,0.29,17,9,44
-10.0,3.65,-19.2,0.39,17,9,45
-10.0,3.11,-19.2,0.48,17,9,46
2.21,3.42,-1.03,0.39,17,9,47
29.0,-8.89,19.35,0.39,17,9,48
-10.0,3.88,-19.2,0.44,17,9,49
